Trace;Constraint;Events-Evaluation
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Accept Claim);[1, 1, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Accept Claim);[0, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Execute Payment);[1, 1, 1, 1, 1, 1, 1, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Execute Payment);[0, 0, 0, 2, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Payment Order);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Payment Order);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Start Claim,Receive Claim);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Start Claim,Receive Claim);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;MODEL;[2, 0, 2, 2, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AtMostOne(Accept Claim);[1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AtMostOne(Receive Claim);[1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Init(Receive Claim);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AtMostOne(Start Claim);[1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Participation(Start Claim);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Succession(Accept Claim,Execute Payment);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Succession(Accept Claim,Payment Order);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Accept Claim,Receive Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Accept Claim,Start Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;CoExistence(Execute Payment,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Execute Payment,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;CoExistence(Execute Payment,Payment Order);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Execute Payment,Receive Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Execute Payment,Start Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;CoExistence(Payment Order,Accept Claim);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Payment Order,Accept Claim);[3, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Succession(Payment Order,Execute Payment);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternatePrecedence(Payment Order,Execute Payment);[0, 1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Payment Order,Receive Claim);[3, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Payment Order,Start Claim);[3, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Receive Claim,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Receive Claim,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Receive Claim,Execute Payment);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Receive Claim,Execute Payment);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Receive Claim,Payment Order);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Receive Claim,Payment Order);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;ChainSuccession(Receive Claim,Start Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Start Claim,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Start Claim,Accept Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Start Claim,Execute Payment);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Start Claim,Execute Payment);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;AlternateResponse(Start Claim,Payment Order);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;Precedence(Start Claim,Payment Order);[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;CoExistence(Start Claim,Receive Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;NotSuccession(Start Claim,Receive Claim);[0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim,Receive Objection 2>;MODEL;[2, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Accept Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Receive Claim);[1, 1, 1, 1, 1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Init(Receive Claim);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Start Claim);[1, 1, 1, 1, 1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Participation(Start Claim);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Succession(Accept Claim,Execute Payment);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Succession(Accept Claim,Payment Order);[2, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Accept Claim,Receive Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Accept Claim,Start Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Execute Payment,Accept Claim);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Execute Payment,Accept Claim);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Execute Payment,Payment Order);[3, 0, 0, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Execute Payment,Receive Claim);[0, 0, 0, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Execute Payment,Start Claim);[0, 0, 0, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Payment Order,Accept Claim);[3, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Payment Order,Accept Claim);[2, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Succession(Payment Order,Execute Payment);[3, 0, 0, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternatePrecedence(Payment Order,Execute Payment);[0, 1, 1, 3, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Payment Order,Receive Claim);[3, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Payment Order,Start Claim);[3, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Receive Claim,Accept Claim);[1, 1, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Receive Claim,Accept Claim);[0, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Receive Claim,Execute Payment);[1, 1, 1, 1, 1, 1, 1, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Receive Claim,Execute Payment);[0, 0, 0, 2, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Receive Claim,Payment Order);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Receive Claim,Payment Order);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;ChainSuccession(Receive Claim,Start Claim);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Accept Claim);[1, 1, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Accept Claim);[0, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Execute Payment);[1, 1, 1, 1, 1, 1, 1, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Execute Payment);[0, 0, 0, 2, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AlternateResponse(Start Claim,Payment Order);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Precedence(Start Claim,Payment Order);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Start Claim,Receive Claim);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Start Claim,Receive Claim);[0, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;MODEL;[2, 0, 2, 2, 0, 2, 0, 2, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AtMostOne(Accept Claim);[1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AtMostOne(Receive Claim);[1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Init(Receive Claim);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AtMostOne(Start Claim);[1, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Participation(Start Claim);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Succession(Accept Claim,Execute Payment);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Succession(Accept Claim,Payment Order);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Accept Claim,Receive Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Accept Claim,Start Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;CoExistence(Execute Payment,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Execute Payment,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;CoExistence(Execute Payment,Payment Order);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Execute Payment,Receive Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Execute Payment,Start Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;CoExistence(Payment Order,Accept Claim);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Payment Order,Accept Claim);[3, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Succession(Payment Order,Execute Payment);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternatePrecedence(Payment Order,Execute Payment);[0, 1, 1, 1]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Payment Order,Receive Claim);[3, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Payment Order,Start Claim);[3, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Receive Claim,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Receive Claim,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Receive Claim,Execute Payment);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Receive Claim,Execute Payment);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Receive Claim,Payment Order);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Receive Claim,Payment Order);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;ChainSuccession(Receive Claim,Start Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Start Claim,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Start Claim,Accept Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Start Claim,Execute Payment);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Start Claim,Execute Payment);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;AlternateResponse(Start Claim,Payment Order);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;Precedence(Start Claim,Payment Order);[2, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;CoExistence(Start Claim,Receive Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;NotSuccession(Start Claim,Receive Claim);[0, 0, 0, 0]
<Receive Claim,Start Claim,Block Claim 2,Reject Claim>;MODEL;[2, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Accept Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Receive Claim);[1, 1, 1, 1, 1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Init(Receive Claim);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;AtMostOne(Start Claim);[1, 1, 1, 1, 1, 1, 1, 1, 1]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Participation(Start Claim);[2, 0, 0, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Succession(Accept Claim,Execute Payment);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;Succession(Accept Claim,Payment Order);[2, 0, 2, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Accept Claim,Receive Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Accept Claim,Start Claim);[0, 0, 3, 0, 0, 0, 0, 0, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Execute Payment,Accept Claim);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;NotSuccession(Execute Payment,Accept Claim);[0, 0, 3, 3, 0, 3, 0, 3, 0]
<Receive Claim,Start Claim,Accept Claim,Payment Order,Execute Payment,Payment Order,Execute Payment,Payment Order,Execute Payment>;CoExistence(Execute Payment,Payment Order);[3, 0, 0, 3, 0, 3, 0, 3, 0]
